Designation,Absolute Magnitude (H),Min Diameter (km),Max Diameter (km),Is Potentially Hazardous,Relative Velocity (km/s),Relative Velocity (km/h),Miss Distance (km),Miss Distance (miles),Orbiting Body,Cluster,Object Type,pca_1,pca_2,pca_3
887,13.88,4.4519981645,9.9549705315,0,6.5135754194,23448.8715097255,32349299.251077276,20100922.46245942,0,0,Other,1.2591624409045346,-0.30947954172944686,-1.641997181604266
887,13.88,4.4519981645,9.9549705315,0,8.1524064419,29348.6631909835,48597542.27718052,30197112.51232648,0,0,Other,1.2808762256223891,0.10495280984993204,-1.1974831364489757
887,13.88,4.4519981645,9.9549705315,0,10.7038538763,38533.8739547768,66352458.41093496,41229505.81896613,0,0,Other,1.2448097504347977,0.5288251493888122,-0.6015158566258568
887,13.88,4.4519981645,9.9549705315,0,12.8240920609,46166.7314192976,56742769.880520016,35258322.25362743,0,0,Other,0.989106649745596,0.16597202695775917,-0.4166825140764618
887,13.88,4.4519981645,9.9549705315,0,8.8414145662,31829.0924381661,34197633.81777432,21249424.30546684,0,0,Other,1.0932988334623677,-0.3439481800223923,-1.2810955181009716
887,13.88,4.4519981645,9.9549705315,0,7.0959743392,25545.5076209953,20461806.32523,12714376.877008026,0,0,Other,1.1032430255586216,-0.6805773085270315,-1.7090496807689595
887,13.88,4.4519981645,9.9549705315,0,11.6621980775,41983.9130790619,50558981.85434912,31415894.549905006,0,0,Other,1.0231487671699209,0.028757660773676426,-0.6638507491450801
887,13.88,4.4519981645,9.9549705315,0,8.2486989913,29695.3163687272,12296599.148443067,7640752.404445592,0,0,Other,0.936978063041895,-0.9641609069836977,-1.6460257090523682
887,13.88,4.4519981645,9.9549705315,0,14.6558292871,52760.985433726,42148232.27347684,26189697.102346793,0,0,Other,0.709897545615735,-0.3321926973105609,-0.337169194185682
887,13.88,4.4519981645,9.9549705315,0,11.2689470236,40568.2092851296,24881868.106356133,15460875.910947315,0,0,Other,0.8161629226750955,-0.7098860737719902,-1.0479840276302035
887,13.88,4.4519981645,9.9549705315,0,13.0225431569,46881.1553647205,38656642.73116454,24020123.965197105,0,0,Other,0.8059384509460807,-0.3724246701244153,-0.6183516916359738
887,13.88,4.4519981645,9.9549705315,0,15.3029896614,55090.7627811044,54553572.58772464,33898018.13402456,0,0,Other,0.7739607435974023,0.007243497370999686,-0.08533006872262837
1036,9.26,37.3727431914,83.5679942816,0,6.3038666347,22693.9198850778,292651827.3251853,181845413.2160132,1,2,Asteroid,10.486302618633761,4.042843379217713,4.4729439102669195
1036,9.26,37.3727431914,83.5679942816,0,17.0936980471,61537.312969416,57051057.19171268,35449883.106007785,0,2,Asteroid,7.455283479290434,-3.283330140991476,3.0349112088462786
1036,9.26,37.3727431914,83.5679942816,0,19.3628682208,69706.3255947893,74241624.06748815,46131606.04454034,0,2,Asteroid,7.436177754322398,-2.865263569298487,3.5827804233474847
1036,9.26,37.3727431914,83.5679942816,0,13.6399767933,49103.9164559563,69452745.97155164,43155935.179416895,0,2,Asteroid,7.841677895219472,-2.7877096919953224,2.6924000957953447
1036,9.26,37.3727431914,83.5679942816,0,14.3047014983,51496.9253938195,53721228.79861753,33380823.686098635,0,2,Asteroid,7.643672018802717,-3.274768325680638,2.5883029854923896
